16:37:29.566 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
16:37:29.566 INFO   - BackgroundStateContext::setCurveSelected curve=Curve1
16:37:29.566 INFO   - BackgroundStateCurve::setCurveSelected curve=Curve1
16:37:29.566 INFO   - BackgroundStateCurve::processImageFromSavedInputs
16:37:29.566 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
16:37:29.566 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
16:37:29.628 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
16:37:29.628 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(1260x936)
16:37:29.628 INFO   - BackgroundStateNone::setCurveSelected
16:37:29.628 INFO   - BackgroundStateOriginal::setCurveSelected
16:37:29.628 INFO   - BackgroundStateUnloaded::setCurveSelected
16:37:29.628 INFO   - BackgroundStateContext::setBackgroundImage background=Filtered
16:37:29.629 INFO   - BackgroundStateContext::requestStateTransition
16:37:29.629 INFO   - BackgroundStateContext::completeRequestedStateTransitionIfExists
16:37:29.629 INFO   - MainWindow::slotViewZoom
16:37:29.629 INFO   - MainWindow::slotViewZoomFactor
16:37:29.629 INFO   - StatusBar::slotZoom zoom=11
16:37:29.629 INFO   - MainWindow::setCurrentFile
16:37:29.629 INFO   - MainWindow::updateWindowTitle
16:37:29.629 INFO   - MainWindow::saveStartingDocumentSnapshot
16:37:29.692 INFO   - CoordSystemContext::saveXml
16:37:29.692 INFO   - DocumentModelGeneral::saveXml
16:37:29.692 INFO   - DocumentModelCoords::saveXml
16:37:29.692 INFO   - DocumentModelDigitizeCurve::saveXml
16:37:29.692 INFO   - DocumentModelExportFormat::saveXml
16:37:29.692 INFO   - DocumentModelAxesChecker::saveXml
16:37:29.692 INFO   - DocumentModelGridDisplay::saveXml
16:37:29.692 INFO   - DocumentModelGridRemoval::saveXml
16:37:29.692 INFO   - DocumentModelPointMatch::saveXml
16:37:29.692 INFO   - DocumentModelSegments::saveXml
16:37:29.692 INFO   - Curve::saveXml
16:37:29.692 INFO   - ColorFilterSettings::saveXml
16:37:29.692 INFO   - CurveStyle::saveXml
16:37:29.692 INFO   - LineStyle::saveXml
16:37:29.692 INFO   - PointStyle::saveXml
16:37:29.692 INFO   - CurvesGraphs::saveXml
16:37:29.692 INFO   - Curve::saveXml
16:37:29.692 INFO   - ColorFilterSettings::saveXml
16:37:29.692 INFO   - CurveStyle::saveXml
16:37:29.692 INFO   - LineStyle::saveXml
16:37:29.692 INFO   - PointStyle::saveXml
16:37:29.692 INFO   - MainWindow::updateAfterCommand
16:37:29.692 INFO   - MainWindow::updateAfterCommandStatusBarCoords
16:37:29.693 INFO   - Document::iterateThroughCurvePointsAxes
16:37:29.693 INFO   - CoordSystemContext::iterateThroughCurvePointsAxes
16:37:29.693 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
16:37:29.693 INFO   - BackgroundStateContext::setCurveSelected curve=Curve1
16:37:29.693 INFO   - BackgroundStateCurve::setCurveSelected curve=Curve1
16:37:29.693 INFO   - BackgroundStateCurve::processImageFromSavedInputs
16:37:29.693 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
16:37:29.693 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
16:37:29.753 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
16:37:29.753 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(1260x936)
16:37:29.754 INFO   - BackgroundStateNone::setCurveSelected
16:37:29.754 INFO   - BackgroundStateOriginal::setCurveSelected
16:37:29.754 INFO   - BackgroundStateUnloaded::setCurveSelected
16:37:29.754 INFO   - MainWindow::updateGridLines
16:37:29.754 INFO   - GraphicsScene::updateAfterCommand
16:37:29.754 INFO   - GraphicsLinesForCurves::updateHighlightOpacity highlightOpacity=0.35
16:37:29.754 INFO   - GraphicsScene::updateCurves
16:37:29.754 INFO   - Document::curvesGraphsNames
16:37:29.754 INFO   - CoordSystemContext::curvesGraphsNames
16:37:29.754 INFO   - GraphicsLinesForCurves::addRemoveCurves curveCount=0
